date,open,high,low,close,volume,average,barCount
2026-04-09 01:32:32-04:00,4741.4,4741.7,4741.3,4741.7,8.0,4741.49,6
2026-04-09 01:32:33-04:00,4741.7,4741.8,4741.7,4741.8,2.0,4741.75,2
2026-04-09 01:32:34-04:00,4741.8,4741.9,4741.6,4741.9,4.0,4741.8,3
2026-04-09 01:32:35-04:00,4741.9,4741.9,4741.9,4741.9,0.0,4741.9,0
2026-04-09 01:32:36-04:00,4741.9,4741.9,4741.9,4741.9,0.0,4741.9,0
2026-04-09 01:32:37-04:00,4741.9,4742.2,4741.8,4741.8,3.0,4741.97,3
2026-04-09 01:32:38-04:00,4741.4,4741.4,4740.5,4740.5,15.0,4740.87,14
2026-04-09 01:32:39-04:00,4740.5,4740.7,4740.5,4740.7,5.0,4740.6,5
2026-04-09 01:32:40-04:00,4740.3,4740.3,4740.1,4740.1,8.0,4740.19,4
2026-04-09 01:32:41-04:00,4740.6,4740.6,4740.6,4740.6,2.0,4740.6,1
2026-04-09 01:32:42-04:00,4740.2,4740.2,4740.0,4740.0,12.0,4740.06,5
2026-04-09 01:32:43-04:00,4740.3,4740.3,4740.3,4740.3,1.0,4740.3,1
2026-04-09 01:32:44-04:00,4740.0,4740.2,4740.0,4740.2,2.0,4740.1,2
2026-04-09 01:32:45-04:00,4740.1,4740.8,4740.1,4740.4,16.0,4740.56,6
2026-04-09 01:32:46-04:00,4740.5,4740.5,4740.5,4740.5,1.0,4740.5,1
2026-04-09 01:32:47-04:00,4740.6,4740.6,4740.5,4740.5,2.0,4740.55,2
2026-04-09 01:32:48-04:00,4740.5,4740.5,4740.5,4740.5,0.0,4740.5,0
2026-04-09 01:32:49-04:00,4740.7,4741.0,4740.7,4741.0,4.0,4740.88,3
2026-04-09 01:32:50-04:00,4741.0,4741.0,4741.0,4741.0,0.0,4741.0,0
2026-04-09 01:32:51-04:00,4741.0,4741.0,4741.0,4741.0,0.0,4741.0,0
2026-04-09 01:32:52-04:00,4740.9,4741.1,4740.9,4741.1,4.0,4741.0,3
2026-04-09 01:32:53-04:00,4741.0,4741.4,4741.0,4741.4,4.0,4741.28,3
2026-04-09 01:32:54-04:00,4741.3,4741.6,4741.3,4741.6,4.0,4741.53,3
2026-04-09 01:32:55-04:00,4741.8,4741.8,4741.2,4741.2,8.0,4741.41,7
2026-04-09 01:32:56-04:00,4741.0,4741.0,4741.0,4741.0,2.0,4741.0,2
2026-04-09 01:32:57-04:00,4741.0,4741.4,4741.0,4741.4,4.0,4741.25,3
2026-04-09 01:32:58-04:00,4741.1,4741.1,4741.1,4741.1,2.0,4741.1,1
2026-04-09 01:32:59-04:00,4740.9,4741.2,4740.7,4741.2,12.0,4740.98,7
2026-04-09 01:33:00-04:00,4741.7,4741.7,4741.7,4741.7,2.0,4741.7,1
2026-04-09 01:33:01-04:00,4741.9,4742.1,4741.8,4742.1,9.0,4741.99,6
2026-04-09 01:33:02-04:00,4741.7,4741.7,4741.7,4741.7,1.0,4741.7,1
2026-04-09 01:33:03-04:00,4741.7,4741.7,4741.7,4741.7,0.0,4741.7,0
2026-04-09 01:33:04-04:00,4741.7,4741.7,4741.7,4741.7,0.0,4741.7,0
2026-04-09 01:33:05-04:00,4742.4,4742.4,4742.4,4742.4,1.0,4742.4,1
2026-04-09 01:33:06-04:00,4742.2,4742.4,4742.2,4742.4,2.0,4742.3,2
2026-04-09 01:33:07-04:00,4742.1,4742.1,4742.1,4742.1,1.0,4742.1,1
2026-04-09 01:33:08-04:00,4742.1,4742.1,4742.1,4742.1,0.0,4742.1,0
2026-04-09 01:33:09-04:00,4741.8,4742.1,4741.8,4742.1,5.0,4741.92,3
2026-04-09 01:33:10-04:00,4742.1,4742.1,4742.1,4742.1,0.0,4742.1,0
2026-04-09 01:33:11-04:00,4742.1,4742.1,4742.1,4742.1,0.0,4742.1,0
2026-04-09 01:33:12-04:00,4742.1,4742.1,4742.1,4742.1,0.0,4742.1,0
2026-04-09 01:33:13-04:00,4742.3,4742.3,4742.3,4742.3,2.0,4742.3,1
2026-04-09 01:33:14-04:00,4742.2,4742.2,4742.2,4742.2,1.0,4742.2,1
2026-04-09 01:33:15-04:00,4742.2,4742.2,4742.2,4742.2,0.0,4742.2,0
2026-04-09 01:33:16-04:00,4742.4,4742.5,4742.4,4742.5,3.0,4742.47,2
2026-04-09 01:33:17-04:00,4742.5,4742.5,4742.5,4742.5,0.0,4742.5,0
2026-04-09 01:33:18-04:00,4742.4,4742.8,4742.4,4742.5,9.0,4742.53,7
2026-04-09 01:33:19-04:00,4742.4,4742.4,4742.3,4742.3,4.0,4742.35,2
2026-04-09 01:33:20-04:00,4742.1,4742.1,4741.6,4741.6,5.0,4741.84,5
2026-04-09 01:33:21-04:00,4741.6,4741.6,4741.6,4741.6,0.0,4741.6,0
2026-04-09 01:33:22-04:00,4741.5,4741.5,4741.5,4741.5,1.0,4741.5,1
2026-04-09 01:33:23-04:00,4741.7,4741.8,4741.7,4741.8,2.0,4741.75,2
2026-04-09 01:33:24-04:00,4741.4,4741.8,4741.4,4741.8,2.0,4741.6,2
2026-04-09 01:33:25-04:00,4741.8,4741.8,4741.8,4741.8,0.0,4741.8,0
2026-04-09 01:33:26-04:00,4741.8,4741.8,4741.8,4741.8,0.0,4741.8,0
