timestamp,open,high,low,close,volume,average,barCount
2026-03-31 00:28:00-04:00,4589.7,4590.5,4589.6,4590.5,7.0,4589.99,7
2026-03-31 00:29:00-04:00,4590.3,4590.3,4590.0,4590.0,3.0,4590.17,3
2026-03-31 00:30:00-04:00,4589.8,4591.2,4589.8,4591.2,18.0,4590.4,18
2026-03-31 00:31:00-04:00,4591.4,4592.0,4590.9,4592.0,7.0,4591.54,7
2026-03-31 00:32:00-04:00,4592.7,4593.9,4589.9,4590.0,81.0,4591.48,56
2026-03-31 00:33:00-04:00,4590.2,4592.6,4590.2,4592.0,13.0,4591.36,13
2026-03-31 00:34:00-04:00,4592.9,4593.0,4592.1,4592.6,10.0,4592.58,9
2026-03-31 00:35:00-04:00,4592.3,4592.3,4589.3,4589.4,46.0,4590.92,28
2026-03-31 00:36:00-04:00,4589.5,4590.3,4588.9,4590.2,11.0,4589.63,9
2026-03-31 00:37:00-04:00,4590.0,4590.7,4588.7,4590.6,19.0,4589.54,18
2026-03-31 00:38:00-04:00,4590.8,4591.9,4589.6,4589.9,23.0,4591.07,20
2026-03-31 00:39:00-04:00,4589.7,4591.2,4589.7,4590.4,20.0,4590.4,17
2026-03-31 00:40:00-04:00,4590.1,4591.6,4589.5,4589.5,32.0,4590.66,22
2026-03-31 00:41:00-04:00,4588.9,4589.3,4588.4,4588.9,17.0,4588.93,17
2026-03-31 00:42:00-04:00,4589.4,4590.4,4589.4,4590.4,10.0,4589.88,9
2026-03-31 00:43:00-04:00,4590.8,4590.8,4589.8,4590.4,20.0,4590.11,15
2026-03-31 00:44:00-04:00,4591.0,4592.7,4591.0,4592.5,49.0,4592.15,33
2026-03-31 00:45:00-04:00,4592.9,4593.3,4592.1,4593.0,25.0,4592.72,19
2026-03-31 00:46:00-04:00,4593.5,4593.6,4591.9,4591.9,25.0,4592.65,22
2026-03-31 00:47:00-04:00,4592.5,4592.6,4589.5,4589.6,50.0,4590.94,41
2026-03-31 00:48:00-04:00,4590.7,4593.0,4590.5,4590.5,48.0,4591.78,44
2026-03-31 00:49:00-04:00,4590.2,4591.4,4589.6,4590.0,31.0,4590.35,27
2026-03-31 00:50:00-04:00,4589.9,4591.6,4589.9,4590.9,70.0,4591.3,44
2026-03-31 00:51:00-04:00,4591.4,4592.1,4589.2,4589.2,66.0,4591.16,43
2026-03-31 00:52:00-04:00,4589.4,4591.2,4589.4,4590.2,17.0,4590.35,17
2026-03-31 00:53:00-04:00,4590.4,4591.2,4589.9,4590.8,62.0,4590.58,45
2026-03-31 00:54:00-04:00,4591.7,4594.9,4591.7,4594.2,53.0,4593.14,45
2026-03-31 00:55:00-04:00,4594.3,4594.5,4593.4,4594.4,12.0,4594.06,12
2026-03-31 00:56:00-04:00,4594.1,4597.4,4593.7,4594.0,67.0,4595.52,58
2026-03-31 00:57:00-04:00,4594.2,4594.7,4592.9,4593.7,86.0,4593.87,63
2026-03-31 00:58:00-04:00,4594.1,4595.4,4593.5,4594.9,69.0,4594.48,57
2026-03-31 00:59:00-04:00,4594.7,4594.7,4592.9,4592.9,20.0,4593.77,18
2026-03-31 01:00:00-04:00,4592.7,4593.7,4592.0,4592.7,41.0,4592.45,30
2026-03-31 01:01:00-04:00,4592.7,4594.5,4592.7,4594.3,30.0,4593.42,27
2026-03-31 01:02:00-04:00,4594.7,4595.7,4593.8,4594.0,63.0,4594.59,40
